time,S,Z,R,I
1323,245,48,49,2
1324,246,48,49,2
1325,247,48,49,2
1326,247,48,49,2
1327,247,48,49,2
1328,247,48,49,2
1329,247,48,49,2
1330,248,48,49,2
1331,248,48,49,2
1332,248,48,49,2
1333,248,48,49,2
1334,249,48,49,2
1335,249,48,49,2
1336,250,48,49,2
1337,250,48,49,2
1338,251,48,49,2
1339,251,48,49,2
1340,251,48,49,2
1341,253,48,49,2
1342,253,48,49,2
1343,253,48,49,2
1344,253,48,49,2
1345,253,48,49,2
1346,253,48,49,2
1347,253,48,49,2
1348,253,48,49,2
1349,254,48,49,2
1350,254,48,49,2
1351,254,48,49,2
1352,255,48,49,2
1353,255,48,49,2
1354,256,48,49,2
1355,257,48,49,2
1356,257,48,49,2
1357,258,48,49,2
1358,258,48,49,2
